"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifcname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:RB:401077"|"RB"|"2020-07-08"|"RB"|"RB"|"RB00401077"|""|"Pdre Ignacio de Azevedo"|""|""|""|""|""|""|"Brasil"|"Ceará"|""|"Serra do Baturité."|""|""|""|""|""|""|"R.L. Esteves"|"23/9/2005"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|"RB 78100"
"Collection"|"Creative Commons"|"urn:catalog:RB:401084"|"RB"|"2014-07-08"|"RB"|"RB"|"RB00401084"|"3830"|"E.P. Heringer"|"1955-4-15"|"1955"|"4"|"15"|""|""|"Brasil"|"Minas Gerais"|"Sete Lagoas"|"Caeira Nery."|""|""|""|""|""|""|"R.L. Esteves"|"23/9/2005"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|"RB 89862"
"Collection"|"Creative Commons"|"urn:catalog:RB:1508521"|"RB"|"2023-11-21"|"RB"|"RB"|"RB01508521"|"4500"|"P.H.A. Melo"|"2015-7-2"|"2015"|"7"|"2"|"#"|""|"Brasil"|"Minas Gerais"|"Prudente de Morais"|"Maciço Escrivânia"|""|""|""|""|"-19.4458333"|"-44.1041667"|"P.H.A. Melo"|"9/5/2017"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|"RB 858279"
"Collection"|"Creative Commons"|"urn:catalog:RB:401073"|"RB"|"2014-07-08"|"RB"|"RB"|"RB00401073"|"5625"|"E.P. Heringer"|"1957-6-10"|"1957"|"6"|"10"|""|""|"Brasil"|"Minas Gerais"|""|"Fazenda do Barro Vermelho, Rod. Cordisburgo Paraopeba - MG."|""|""|""|""|""|""|"R.L. Esteves"|"23/9/2005"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|"RB 119663"
"Collection"|"Creative Commons"|"urn:catalog:RB:1442077"|"RB"|"2021-07-05"|"RB"|"RB"|"RB01442077"|"4422"|"P.H.A.Melo"|"2012-7-28"|"2012"|"7"|"28"|""|""|"Brasil"|"Minas Gerais"|"Arcos"|"Estação Biológica do Corumba, proximidades da gruta. "|"754"|""|""|""|"-20.5188889"|"-45.9880555"|"P.H.A. Melo"|"2012"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|"RB 814233"
"Collection"|"Creative Commons"|"urn:catalog:UB:51927"|"UB"|"2024-08-07"|"UB"|"UB"|"UB0051927"|"4422"|"Melo, PHA"|"2012-7-28"|"2012"|"7"|"28"|"Erect herb, 1m. Annual, white flowers, green involucral bracts."|""|"Brasil"|"Minas Gerais"|"Arcos"|"Estação Ecologica do Corumbá"|"754"|"754"|""|""|"-20.5166667"|"-45.9880555"|"Melo, PHA"|"2012"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|"UB 247300"
"Collection"|"Creative Commons"|"urn:catalog:UB:51928"|"UB"|"2024-08-07"|"UB"|"UB"|"UB0051928"|"4422"|"Melo, PHA"|"2012-7-28"|"2012"|"7"|"28"|"Erect herb, 1m. Annual, white flowers, green involucral bracts."|""|"Brasil"|"Minas Gerais"|"Arcos"|"Estação Ecologica do Corumbá"|"754"|"754"|""|""|"-20.5166667"|"-45.9880555"|"Melo, PHA"|"2012"|""|""|""|"Gardnerina angustata (Gardner) R.M.King & H.Rob."|"ASTERACEAE"|"Gardnerina"|"angustata"|""|"specie"|"(Gardner) R.M.King & H.Rob."|"Angiospermas"|""|"Plantae"|""|""
