gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6220002303	3b8e9d83-b2d4-4a97-973c-31d98b67b1e9	https://specieslink.net/guid/40/452662	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae				FAMILY	Lauraceae			BR	Calciolândia. Estrada de Ferro próximo ao Rio São Miguel	Minas Gerais	PRESENT		ab5c0b99-5af3-4958-b03c-0b7e85481cc1	-20.237778	-45.660833			593.0				2018-05-21	21	5	2018	6688		PRESERVED_SPECIMEN	MBM	MBM	452662	85			CC_BY_4_0	Herbário do Museu Botânico Municipal	Valente, E.; Baumgratz, J.F.A.; Bovini, M.; Ferreira, C.D.M.; Leite, G.A.			2026-06-26T20:12:41.524Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184282493	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1604946	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis trinervis		SPECIES	Baccharis trinervis (Lam.) Pers.	Baccharis aff. trinervis Pers.	Pers.	BR	Conglomerado MG_1253, subunidade 2, subparcela 1, indivíduo 4. Formulário F8. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	3129535	3129535	PRESERVED_SPECIMEN	JBRJ	RB	RB01604946	1719	D.Monteiro	2026-03-03T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.819Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184282488	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1603893	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Zanthoxylum	Zanthoxylum rhoifolium		SPECIES	Zanthoxylum rhoifolium Lam.	Zanthoxylum rhoifolium Lam.	Lam.	BR	Conglomerado MG_1253, subunidade 1, subparcela 6, indivíduo 30. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	7269222	7269222	PRESERVED_SPECIMEN	JBRJ	RB	RB01603893	1701	A.A. Corrêa	2026-03-23T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.672Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184282054	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1602985	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis		SPECIES	Tapirira guianensis Aubl.	Tapirira guianensis Aubl.	Aubl.	BR	Conglomerado MG_1253, subunidade 2, subparcela 3, indivíduo 3. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	7321555	7321555	PRESERVED_SPECIMEN	JBRJ	RB	RB01602985	1705	A.A CORRÊA	2026-05-05T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.512Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184281968	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1602984	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis		SPECIES	Tapirira guianensis Aubl.	Tapirira guianensis Aubl.	Aubl.	BR	Conglomerado MG_1253, subunidade 4, subparcela 10, indivíduo 10. Formulário F8. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	7321555	7321555	PRESERVED_SPECIMEN	JBRJ	RB	RB01602984	1725	A.A CORRÊA	2026-05-05T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.511Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184281718	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1604911	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Gouania	Gouania latifolia		SPECIES	Gouania latifolia Reissek	Gouania latifolia Reissek	Reissek	BR	Conglomerado MG_1253, subunidade 2, subparcela 1, indivíduo 3. Formulário F8. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	5603000	5603000	PRESERVED_SPECIMEN	JBRJ	RB	RB01604911	1718	D. Monteiro	2026-03-10T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.790Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184281344	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1603828	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton salutaris		SPECIES	Croton salutaris Casar.	Croton cf. salutaris Casar.	Casar.	BR	Conglomerado MG_1253, subunidade 2, subparcela 10, indivíduo 8. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	3058577	3058577	PRESERVED_SPECIMEN	JBRJ	RB	RB01603828	1707	A.A. Corrêa	2026-05-29T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:30.177Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6184281004	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1603736	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae				FAMILY	Poaceae	Poaceae		BR	Conglomerado MG_1253, subunidade 3, subparcela 1, indivíduo 1. Formulário F9. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	3073		PRESERVED_SPECIMEN	JBRJ	RB	RB01603736	1728			CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.600Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6163445973	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1602965	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Wilbrandia	Wilbrandia hibiscoides		SPECIES	Wilbrandia hibiscoides Silva Manso	Wilbrandia hibiscoides Silva Manso	Silva Manso	BR	Conglomerado MG_1253, subunidade 2, subparcela 1, indivíduo 5. Formulário F8. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	7317954	7317954	PRESERVED_SPECIMEN	JBRJ	RB	RB01602965	1720	I.T. Lopes	2026-06-01T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.412Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
6163445927	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1602963	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Matayba	Matayba guianensis		SPECIES	Matayba guianensis Aubl.	Matayba guianensis Aubl.	Aubl.	BR	Conglomerado MG_1253, subunidade 3, subparcela 5, indivíduo 18. Formulário F6. UTM do Ponto Central: E(424846m) N(7750730m), fuso do GPS (23K).	Minas Gerais	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.34	-45.72							2025-02-07	7	2	2025	3784329	3784329	PRESERVED_SPECIMEN	JBRJ	RB	RB01602963	1709	D. Monteiro	2026-03-03T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	R.P. Viana			2026-07-01T12:15:02.461Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
