gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4519434126	StillImage	image/jpeg	https://d2jcv3kl45hlgi.cloudfront.net/82c6a43f7e2cd5eda43fc4ad7a259b5e.jpg	http://specimens.kew.org/Herbarium/K001516460									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4462607258				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/11/22/67/ub00112267.dzi									Creative Commons	UB
4455813586				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/5/97/98/ibge00059798.dzi									Creative Commons	IBGE
4455813583				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/5/97/95/ibge00059795.dzi									Creative Commons	IBGE
4455805835				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/0/20/12/ibge00002012.dzi									Creative Commons	IBGE
4455802155				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/3/64/38/ibge00036438.dzi									Creative Commons	IBGE
4455781368				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/5/97/96/ibge00059796.dzi									Creative Commons	IBGE
4443660581				https://images.cria.org.br/viewer/ALCB078323										
4439761323				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/5/30/80/upcb00053080.dzi									Creative Commons	UPCB
4433862342	StillImage	image/jpeg	https://collections.nmnh.si.edu/media/?i=16557953&h=2000		03457078.tif	Melo, P. H. 781, US National Herbarium Sheet 3764176, Barcode 03457078	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Ingrid P. Lin		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
4433855328	StillImage	image/jpeg	https://collections.nmnh.si.edu/media/?i=16557952&h=2000		03457077.tif	Melo, P. H. 657, US National Herbarium Sheet 3764166, Barcode 03457077	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Ingrid P. Lin		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
4427262869				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/6/95/mbm00440695.dzi									http://creativecommons.org/licenses/by/4.0/	MBM
4427257911				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/43/64/89/mbm00436489.dzi									http://creativecommons.org/licenses/by/4.0/	MBM
4427238763				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/11/91/94/cen00119194.dzi									http://creativecommons.org/licenses/by/4.0/	CEN
4427235654				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/11/97/62/cen00119762.dzi									http://creativecommons.org/licenses/by/4.0/	CEN
4427188076				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/heph/heph/0/2/99/40/heph00029940.dzi									http://creativecommons.org/licenses/by/4.0/	HEPH
4165281304				https://images.cria.org.br/viewer/BHCB065525										
4165280306				https://images.cria.org.br/viewer/BHCB058289										
4165258722				https://images.cria.org.br/viewer/HRCB073573										
4165258713				https://images.cria.org.br/viewer/HRCB073570										
4165258709				https://images.cria.org.br/viewer/HRCB073572										
4165258693				https://images.cria.org.br/viewer/HRCB073569										
4162766597	StillImage			http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hstm/hstm/0/1/20/60/hstm00012060.dzi									http://creativecommons.org/licenses/by/4.0/	HSTM
4162710497	StillImage			http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/unop/unop/0/0/59/41/unop00005941.dzi									http://creativecommons.org/licenses/by/4.0/	UNOP
4093110335				https://images.cria.org.br/viewer/BHCB212694										
3969882066	StillImage	image/jpeg	https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT0420000/BRIT420103.jpg											Botanical Research Institute of Texas
3897239352				https://images.cria.org.br/viewer/BHCB209614										
3868231303				https://images.cria.org.br/viewer/UEC188699										
3800710904				https://images.cria.org.br/viewer/CEN00119194										
3800710654				https://images.cria.org.br/viewer/CEN00119762										
3745854338				https://images.cria.org.br/viewer/UEC182068										
3745850333				https://images.cria.org.br/viewer/UEC182069										
3696004307				https://images.cria.org.br/viewer/BHCB060148										
3696004306				https://images.cria.org.br/viewer/BHCB060114										
3696003308				https://images.cria.org.br/viewer/BHCB060116										
3695999307				https://images.cria.org.br/viewer/BHCB056141										
3695996301				https://images.cria.org.br/viewer/BHCB060110										
3695994305				https://images.cria.org.br/viewer/BHCB060153										
3695994304				https://images.cria.org.br/viewer/BHCB060112										
3695992309				https://images.cria.org.br/viewer/BHCB060113										
3695992304				https://images.cria.org.br/viewer/BHCB060111										
3695988307				https://images.cria.org.br/viewer/BHCB060115										
